
----------- Ïðîòîêîë ------------ Äàòà: 15.12.2025 18:19:02 ------------ 


----- Ïàðàìåòðû --------
-in: in.txt
-out: out.asm
-log: in.txt.log
---- Èñõîäíûå äàííûå ------
Êîëè÷åñòâî ñèìâîëîâ: 2837
Ïðîèãíîðèðîâàíî:   0
Êîëè÷åñòâî ñòðîê: 121

------------------------------ ×ËÅÍÛ ÎÒÐßÄÀ, ÇÀÌÅ×ÅÍÍÎÃÎ ÐÀÇÂÅÄ×ÈÊÀÌÈ  ------------------------

| ¹ | ÇÀÌÅ×ÅÍÍÛÉ | ÌÅÑÒÎ | ÏÎÇÈÖÈß Â ÒÒ|
|  0 |    p       |    1  |             |
|  1 |    f       |    1  |             |
|  2 |    i       |    1  |       0     |
|  3 |    (       |    1  |             |
|  4 |    t       |    1  |             |
|  5 |    i       |    1  |       1     |
|  6 |    )       |    1  |             |
|  7 |    [       |    2  |             |
|  8 |    o       |    3  |             |
|  9 |    l       |    3  |       2     |
| 10 |    ;       |    3  |             |
| 11 |    o       |    4  |             |
| 12 |    i       |    4  |       1     |
| 13 |    ;       |    4  |             |
| 14 |    o       |    5  |             |
| 15 |    l       |    5  |       3     |
| 16 |    ;       |    5  |             |
| 17 |    ^       |    6  |             |
| 18 |    ;       |    6  |             |
| 19 |    e       |    7  |             |
| 20 |    ;       |    7  |             |
| 21 |    ]       |    8  |             |
| 22 |    t       |   10  |             |
| 23 |    f       |   10  |             |
| 24 |    i       |   10  |       4     |
| 25 |    (       |   10  |             |
| 26 |    t       |   10  |             |
| 27 |    i       |   10  |       5     |
| 28 |    ,       |   10  |             |
| 29 |    t       |   10  |             |
| 30 |    i       |   10  |       6     |
| 31 |    )       |   10  |             |
| 32 |    [       |   11  |             |
| 33 |    n       |   12  |             |
| 34 |    t       |   12  |             |
| 35 |    i       |   12  |       7     |
| 36 |    ;       |   12  |             |
| 37 |    i       |   13  |       7     |
| 38 |    =       |   13  |             |
| 39 |    (       |   13  |             |
| 40 |    i       |   13  |       5     |
| 41 |    *       |   13  |             |
| 42 |    i       |   13  |       6     |
| 43 |    )       |   13  |             |
| 44 |    /       |   13  |             |
| 45 |    l       |   13  |       8     |
| 46 |    ;       |   13  |             |
| 47 |    e       |   14  |             |
| 48 |    i       |   14  |       7     |
| 49 |    ;       |   14  |             |
| 50 |    ]       |   15  |             |
| 51 |    m       |   17  |             |
| 52 |    [       |   18  |             |
| 53 |    i       |   19  |       0     |
| 54 |    (       |   19  |             |
| 55 |    l       |   19  |       9     |
| 56 |    )       |   19  |             |
| 57 |    ;       |   19  |             |
| 58 |    n       |   20  |             |
| 59 |    t       |   20  |             |
| 60 |    i       |   20  |      10     |
| 61 |    =       |   20  |             |
| 62 |    l       |   20  |       8     |
| 63 |    ;       |   20  |             |
| 64 |    n       |   21  |             |
| 65 |    t       |   21  |             |
| 66 |    i       |   21  |      11     |
| 67 |    =       |   21  |             |
| 68 |    l       |   21  |      12     |
| 69 |    ;       |   21  |             |
| 70 |    n       |   22  |             |
| 71 |    t       |   22  |             |
| 72 |    i       |   22  |      13     |
| 73 |    ;       |   22  |             |
| 74 |    i       |   23  |      13     |
| 75 |    =       |   23  |             |
| 76 |    i       |   23  |       4     |
| 77 |    (       |   23  |             |
| 78 |    i       |   23  |      10     |
| 79 |    ,       |   23  |             |
| 80 |    i       |   23  |      11     |
| 81 |    )       |   23  |             |
| 82 |    ;       |   23  |             |
| 83 |    o       |   25  |             |
| 84 |    l       |   25  |      14     |
| 85 |    ;       |   25  |             |
| 86 |    o       |   25  |             |
| 87 |    i       |   25  |      10     |
| 88 |    ;       |   25  |             |
| 89 |    ^       |   25  |             |
| 90 |    ;       |   25  |             |
| 91 |    i       |   26  |       0     |
| 92 |    (       |   26  |             |
| 93 |    l       |   26  |      15     |
| 94 |    )       |   26  |             |
| 95 |    ;       |   26  |             |
| 96 |    n       |   28  |             |
| 97 |    t       |   28  |             |
| 98 |    i       |   28  |      16     |
| 99 |    =       |   28  |             |
|100 |    l       |   28  |      17     |
|101 |    ;       |   28  |             |
|102 |    n       |   29  |             |
|103 |    t       |   29  |             |
|104 |    i       |   29  |      18     |
|105 |    =       |   29  |             |
|106 |    l       |   29  |      19     |
|107 |    ;       |   29  |             |
|108 |    ?       |   31  |             |
|109 |    i       |   31  |      16     |
|110 |    @       |   31  |             |
|111 |    i       |   31  |      18     |
|112 |    #       |   31  |             |
|113 |    c       |   32  |             |
|114 |    [       |   32  |             |
|115 |    o       |   33  |             |
|116 |    l       |   33  |      20     |
|117 |    ;       |   33  |             |
|118 |    o       |   34  |             |
|119 |    i       |   34  |      16     |
|120 |    ;       |   34  |             |
|121 |    ^       |   35  |             |
|122 |    ;       |   35  |             |
|123 |    i       |   36  |      16     |
|124 |    =       |   36  |             |
|125 |    i       |   36  |      16     |
|126 |    +       |   36  |             |
|127 |    l       |   36  |      21     |
|128 |    ;       |   36  |             |
|129 |    i       |   37  |      10     |
|130 |    =       |   37  |             |
|131 |    i       |   37  |      10     |
|132 |    +       |   37  |             |
|133 |    l       |   37  |      22     |
|134 |    ;       |   37  |             |
|135 |    ]       |   38  |             |
|136 |    #       |   38  |             |
|137 |    o       |   40  |             |
|138 |    i       |   40  |      10     |
|139 |    ;       |   40  |             |
|140 |    ^       |   41  |             |
|141 |    ;       |   41  |             |
|142 |    ?       |   43  |             |
|143 |    i       |   43  |      10     |
|144 |    ~       |   43  |             |
|145 |    l       |   43  |       8     |
|146 |    #       |   43  |             |
|147 |    w       |   44  |             |
|148 |    [       |   44  |             |
|149 |    o       |   44  |             |
|150 |    l       |   44  |      23     |
|151 |    ;       |   44  |             |
|152 |    i       |   44  |      10     |
|153 |    =       |   44  |             |
|154 |    l       |   44  |      24     |
|155 |    ;       |   44  |             |
|156 |    ^       |   44  |             |
|157 |    ;       |   44  |             |
|158 |    ]       |   44  |             |
|159 |    r       |   45  |             |
|160 |    [       |   45  |             |
|161 |    o       |   45  |             |
|162 |    l       |   45  |      25     |
|163 |    ;       |   45  |             |
|164 |    ]       |   45  |             |
|165 |    #       |   45  |             |
|166 |    o       |   47  |             |
|167 |    l       |   47  |      26     |
|168 |    ;       |   47  |             |
|169 |    ^       |   47  |             |
|170 |    ;       |   47  |             |
|171 |    o       |   47  |             |
|172 |    i       |   47  |      10     |
|173 |    ;       |   47  |             |
|174 |    ^       |   47  |             |
|175 |    ;       |   47  |             |
|176 |    ^       |   49  |             |
|177 |    ;       |   49  |             |
|178 |    i       |   50  |       0     |
|179 |    (       |   50  |             |
|180 |    l       |   50  |      27     |
|181 |    )       |   50  |             |
|182 |    ;       |   50  |             |
|183 |    n       |   52  |             |
|184 |    t       |   52  |             |
|185 |    i       |   52  |      28     |
|186 |    ;       |   52  |             |
|187 |    i       |   53  |      28     |
|188 |    =       |   53  |             |
|189 |    i       |   53  |      29     |
|190 |    (       |   53  |             |
|191 |    l       |   53  |      21     |
|192 |    ,       |   53  |             |
|193 |    l       |   53  |      30     |
|194 |    )       |   53  |             |
|195 |    ;       |   53  |             |
|196 |    n       |   55  |             |
|197 |    t       |   55  |             |
|198 |    i       |   55  |      31     |
